titre,artiste,formats,formats_discogs,year,labels,genres,styles
MM..Food,MF Doom,LP,Vinyl,2020,Rhymesayers Entertainment,Hip Hop,"Conscious, Jazzy Hip-Hop, Boom Bap"
MM..Food,MF Doom,2LP,Vinyl,2024,Rhymesayers Entertainment,Hip Hop,"Conscious, Jazzy Hip-Hop, Boom Bap"
Isolation,Kali Uchis,LP,Vinyl,2018,Rinse,"Hip Hop, Latin, Funk / Soul","Contemporary R&B, Neo Soul, Bossanova, Reggaeton"
Anti,Rihanna,2LP,Vinyl,2023,Roc Nation,"Hip Hop, Funk / Soul, Pop","Contemporary R&B, Soul"
Watching Movies With The Sound Off,Mac Miller,2LP,Vinyl,2023,Rostrum Records,Hip Hop,Conscious
Good News,The Persuasions,LP,Vinyl,1982,Rounder Records,Funk / Soul,
The Miseducation Of Lauryn Hill,Lauryn Hill,2LP,Vinyl,1998,Ruffhouse Records,"Hip Hop, Funk / Soul","Neo Soul, Conscious, Contemporary R&B"
North Vol. 2 ,Sango (4),2LP,Vinyl,2024,Sango Recordings,"Electronic, Hip Hop, Funk / Soul","Contemporary R&B, Hip Hop"
Prison / The Anthem,Napol�on Da Legend,LP,Vinyl,2001,Savoir Faire Recordings,Hip Hop,
The Breeze Grew a Fire,Mereba,LP,Vinyl,2025,Secretly Canadian,"Funk / Soul, Pop","Contemporary R&B, Rhythm & Blues"
Split,Josman,LP,Vinyl,2022,Sideline Records (2),Hip Hop,Trap
True Blue,Madonna,LP,Vinyl,1986,Sire,"Electronic, Rock, Pop","Dance-pop, Synth-pop, Pop Rock, Ballad"
Savage Mode II,"21 Savage, Metro Boomin",LP,Vinyl,2020,Slaughter Gang,Hip Hop,"Trap, Gangsta"
The Legacy Of The Blues Vol. 6,Big Joe Williams,LP,Vinyl,1972,Sonet,Blues,Delta Blues
CrazySexyCool,TLC,2LP,Vinyl,2012,Sony Music Commercial Music Group,Funk / Soul,Contemporary R&B
Madvillainy,Madvillain,2LP,Vinyl,2021,Stones Throw Records,Hip Hop,"Jazzy Hip-Hop, Abstract, Boom Bap, Leftfield"
Donuts,J Dilla,2LP,Vinyl,0,Stones Throw Records,Hip Hop,Instrumental
Madvillainy Demos,Madvillain,LP,Vinyl,2024,Stones Throw Records,Hip Hop,Boom Bap
Why Lawd?,NxWorries,LP,Vinyl,2024,Stones Throw Records,Hip Hop,Soul
1988,knxwledge,LP,Vinyl,2020,Stones Throw Records,"Electronic, Hip Hop","Instrumental, Leftfield"
Untitled Beats,Argee,LP,Vinyl,2021,Straatkunst,Hip Hop,"Instrumental, Jazzy Hip-Hop"
Straight From The Heart,Patrice Rushen,2LP,Vinyl,2021,Strut,Funk / Soul,"Disco, Soul"
Edgar Hayes And His Orchestra 1937-1938,Edgar Hayes And His Orchestra,LP,Vinyl,0,Swingfan,Jazz,Swing
Original,Group Guad'M,LP,Vinyl,1983,Syllart Records,"Folk, World, & Country, Latin","Zouk, Compas"
I Want You,Marvin Gaye,LP,Vinyl,1976,Tamla Motown,Funk / Soul,"Soul, Disco"
City Of Angels,The Miracles,LP,Vinyl,1975,Tamla,Funk / Soul,"Soul, Funk, Disco"
What's Going On,Marvin Gaye,LP,Vinyl,1971,Tamla,Funk / Soul,Soul
Voir Dire,"Earl Sweatshirt, Alchemist",LP,Vinyl,2024,Tan Cressida,Hip Hop,"Conscious, Jazzy Hip-Hop"
Some Rap Songs,Earl Sweatshirt,LP,Vinyl,2019,Tan Cressida,Hip Hop,
Dr Boondigga & The Big BW,Fat Freddy's Drop,2LP,Vinyl,2009,The Drop,"Electronic, Jazz, Reggae, Funk / Soul","Soul-Jazz, Reggae, Dub, Neo Soul"
Op�ra Puccino,Oxmo Puccino,2LP,Vinyl,2018,Time Bomb Records Label,Hip Hop,"Boom Bap, Jazzy Hip-Hop, Conscious"
The House Is Burning,Isaiah Rashad,LP,Vinyl,2022,Top Dawg Entertainment,Hip Hop,"Conscious, Jazzy Hip-Hop"
To Pimp A Butterfly,Kendrick Lamar,2LP,Vinyl,2015,Top Dawg Entertainment,"Hip Hop, Jazz, Funk / Soul","Conscious, Jazzy Hip-Hop, G-Funk"
Damn.,Kendrick Lamar,2LP,Vinyl,2017,Top Dawg Entertainment,Hip Hop,Conscious
Untitled Unmastered.,Kendrick Lamar,LP,Vinyl,2016,Top Dawg Entertainment,"Hip Hop, Jazz, Funk / Soul","Conscious, Experimental, Jazzy Hip-Hop, Funk"
Alligator Bites Never Heal,Doechii,LP,Vinyl,2024,Top Dawg Entertainment,"Hip Hop, Funk / Soul",
Blue Lips,Schoolboy Q,2LP,Vinyl,2024,Top Dawg Entertainment,Hip Hop,
SOS,SZA (2),2LP,Vinyl,2023,Top Dawg Entertainment,Funk / Soul,Contemporary R&B
Ctrl,SZA (2),2LP,Vinyl,2017,Top Dawg Entertainment,Funk / Soul,Contemporary R&B
Adios Bahamas,N�pal,LP,Vinyl,2020,Triple 4 Gear,Hip Hop,
Melodrama,Lorde,LP,Vinyl,0,Universal Music Group New Zealand,Pop,"Alt-Pop, Indie Pop"
Quantum,Mahdi Ba,LP,File,2022,UNKNOWN (Canada),Hip Hop,"Cloud Rap, Gangsta, Trap, Downtempo"
